"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Source","__Smoothing Period","__Constant D","__Color Bars","__Loopback Period","__Min Consolidation Length","__Paint Consolidation Area","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX","__2. MACD","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA","__Length","__Bars","__6. High/Low Filter","__Lookback","__7. Maximum close change (％) allowed on entry","__8. Minimum close change (％) allowed on entry","__9. RSI OS/OB","__10. MA","__11. EMA Difference","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak   ","__Win Streak   ","__Row Loss InDay","__DrawDown ％","__InDay Loss ％ ","__Daily Trades  ","__Weekly Trades","__     Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars","__Dashboard Size","__Performance Summary","__Monthly Performance"
281.76,2.82,217.25,2.17,64.52,0.65,5463.54,54.64,2202.65,22.03,3260.89,32.61,5181.78,51.82,1985.40,19.85,3196.37,31.96,1300.05,11.94,1290.17,11.93,240.82,2.41,0.19,0.52,1.05,1.11,1.02,0,0,0,100.78,0.98,1102.53,495.53,607.00,73.00,33.00,40.00,1.00,0,1.00,29.00,13.00,16.00,44.00,20.00,24.00,39.73,39.39,40.00,3.86,0.04,6.58,0.07,1.61,0.02,188.40,1.88,169.43,1.69,203.81,2.04,117.77,1.18,99.27,0.99,133.18,1.33,1.60,1.71,1.53,350.00,3.50,283.23,2.83,350.00,3.50,218.55,2.18,173.32,1.73,218.55,2.18,88.00,75.00,99.00,95.00,50.00,132.00,84.00,91.00,78.00,0,0,0,"Changed "" R:R    1:"": 2 => 2.1.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.10,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-216.01,-2.16,-558.50,-5.59,342.49,3.42,4867.53,48.68,1615.52,16.16,3252.01,32.52,5083.54,50.84,2174.02,21.74,2909.52,29.10,1453.84,13.64,1861.64,16.84,240.85,2.41,-0.02,-0.02,0.96,0.74,1.12,0,0,0,100.74,1.03,846.77,389.87,456.90,56.00,26.00,30.00,1.00,0,1.00,21.00,8.00,13.00,35.00,18.00,17.00,37.50,30.77,43.33,-3.86,-0.04,-21.48,-0.21,11.42,0.12,231.79,2.32,201.94,2.02,250.15,2.50,145.24,1.45,120.78,1.21,171.15,1.71,1.60,1.67,1.46,419.53,4.19,340.01,3.40,419.53,4.19,269.42,2.69,212.93,2.13,269.42,2.69,125.00,98.00,148.00,116.00,51.00,156.00,131.00,120.00,142.00,0,0,0,"Changed "" Multiplier"": 4 => 5.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,5.00,3.00,2.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-426.93,-4.27,-332.16,-3.32,-94.78,-0.95,4936.08,49.36,1881.88,18.82,3054.20,30.54,5363.02,53.63,2214.04,22.14,3148.98,31.49,1083.70,10.88,1600.13,15.31,240.85,2.41,-0.17,-0.22,0.92,0.85,0.97,0,0,0,0,0,1289.73,585.19,704.54,86.00,39.00,47.00,0,0,0,40.00,17.00,23.00,46.00,22.00,24.00,46.51,43.59,48.94,-4.96,-0.05,-8.52,-0.09,-2.02,-0.02,123.40,1.23,110.70,1.11,132.79,1.33,116.59,1.17,100.64,1.01,131.21,1.31,1.06,1.10,1.01,228.79,2.29,183.83,1.84,228.79,2.29,218.55,2.18,173.32,1.73,218.55,2.18,71.00,62.00,78.00,76.00,59.00,88.00,66.00,64.00,68.00,0,0,0,"Changed "" R:R    1:"": 2 => 1.4.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,1.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-1706.10,-17.06,-686.91,-6.87,-1019.18,-10.19,4263.28,42.63,1950.79,19.51,2312.49,23.12,5969.38,59.69,2637.71,26.38,3331.67,33.32,577.89,5.50,2254.23,21.56,240.82,2.41,-0.74,-0.60,0.71,0.74,0.69,0,0,0,0,0,2220.16,1050.27,1169.89,148.00,70.00,78.00,0,0,0,54.00,25.00,29.00,94.00,45.00,49.00,36.49,35.71,37.18,-11.53,-0.12,-9.81,-0.10,-13.07,-0.13,78.95,0.79,78.03,0.78,79.74,0.80,63.50,0.63,58.62,0.59,67.99,0.68,1.24,1.33,1.17,197.74,1.98,197.74,1.98,166.20,1.66,116.78,1.17,94.18,0.94,116.78,1.17,26.00,30.00,23.00,29.00,37.00,22.00,25.00,27.00,23.00,0,0,0,"Changed "" Multiplier"": 4 => 2.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,2.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-78.89,-0.79,-415.65,-4.16,336.76,3.37,5201.74,52.02,1895.41,18.95,3306.33,33.06,5280.63,52.81,2311.07,23.11,2969.56,29.70,1322.21,11.95,1648.87,15.00,240.85,2.41,-0.02,-0.04,0.99,0.82,1.11,0,0,0,100.74,1.02,1041.90,495.06,546.84,69.00,33.00,36.00,1.00,0,1.00,23.00,9.00,14.00,46.00,24.00,22.00,33.33,27.27,38.89,-1.14,-0.01,-12.60,-0.13,9.35,0.10,226.16,2.26,210.60,2.10,236.17,2.36,114.80,1.15,96.29,0.96,134.98,1.35,1.97,2.19,1.75,402.14,4.02,325.81,3.26,402.14,4.02,218.55,2.18,173.32,1.73,218.55,2.18,96.00,96.00,95.00,91.00,51.00,117.00,98.00,113.00,81.00,0,0,0,"Changed "" R:R    1:"": 2 => 2.4.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-216.01,-2.16,-558.50,-5.59,342.49,3.42,4867.53,48.68,1615.52,16.16,3252.01,32.52,5083.54,50.84,2174.02,21.74,2909.52,29.10,1453.84,13.64,1861.64,16.84,240.82,2.41,-0.02,-0.02,0.96,0.74,1.12,0,0,0,100.78,1.03,846.77,389.87,456.90,56.00,26.00,30.00,1.00,0,1.00,21.00,8.00,13.00,35.00,18.00,17.00,37.50,30.77,43.33,-3.86,-0.04,-21.48,-0.21,11.42,0.12,231.79,2.32,201.94,2.02,250.15,2.50,145.24,1.45,120.78,1.21,171.15,1.71,1.60,1.67,1.46,419.53,4.19,340.01,3.40,419.53,4.19,269.42,2.69,212.93,2.13,269.42,2.69,125.00,98.00,148.00,116.00,51.00,156.00,131.00,120.00,142.00,0,0,0,"Changed "" Multiplier"": 4 => 5.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,5.00,3.00,2.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
281.76,2.82,217.25,2.17,64.52,0.65,5463.54,54.64,2202.65,22.03,3260.89,32.61,5181.78,51.82,1985.40,19.85,3196.37,31.96,1300.05,11.94,1290.17,11.93,240.85,2.41,0.19,0.52,1.05,1.11,1.02,0,0,0,100.74,0.98,1102.53,495.53,607.00,73.00,33.00,40.00,1.00,0,1.00,29.00,13.00,16.00,44.00,20.00,24.00,39.73,39.39,40.00,3.86,0.04,6.58,0.07,1.61,0.02,188.40,1.88,169.43,1.69,203.81,2.04,117.77,1.18,99.27,0.99,133.18,1.33,1.60,1.71,1.53,350.00,3.50,283.23,2.83,350.00,3.50,218.55,2.18,173.32,1.73,218.55,2.18,88.00,75.00,99.00,95.00,50.00,132.00,84.00,91.00,78.00,0,0,0,"Changed "" R:R    1:"": 2 => 2.1.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.10,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-3428.08,-34.28,-1681.16,-16.81,-1746.92,-17.47,1889.95,18.90,941.30,9.41,948.65,9.49,5318.03,53.18,2622.46,26.22,2695.57,26.96,209.01,2.94,3577.21,35.41,240.85,2.41,-2.12,-0.90,0.36,0.36,0.35,0,0,0,0,0,2925.10,1499.86,1425.24,195.00,100.00,95.00,0,0,0,60.00,33.00,27.00,135.00,67.00,68.00,30.77,33.00,28.42,-17.58,-0.18,-16.81,-0.17,-18.39,-0.18,31.50,0.31,28.52,0.29,35.14,0.35,39.39,0.39,39.14,0.39,39.64,0.40,0.80,0.73,0.89,75.61,0.76,56.01,0.56,75.61,0.76,74.40,0.74,74.40,0.74,68.60,0.69,7.00,8.00,6.00,8.00,10.00,7.00,6.00,7.00,6.00,0,0,0,"Changed "" Multiplier"": 4 => 1.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,1.00,3.00,2.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-783.69,-7.84,-462.10,-4.62,-321.59,-3.22,4587.51,45.88,1824.39,18.24,2763.13,27.63,5371.20,53.71,2286.49,22.86,3084.71,30.85,759.89,7.87,1509.57,14.55,241.11,2.41,-0.36,-0.40,0.85,0.80,0.90,0,0,0,0,0,1289.85,615.11,674.73,86.00,41.00,45.00,0,0,0,40.00,18.00,22.00,46.00,23.00,23.00,46.51,43.90,48.89,-9.11,-0.09,-11.27,-0.11,-7.15,-0.07,114.69,1.15,101.35,1.01,125.60,1.26,116.77,1.17,99.41,0.99,134.12,1.34,0.98,1.02,0.94,211.38,2.11,169.60,1.69,211.38,2.11,218.55,2.18,173.32,1.73,218.55,2.18,70.00,67.00,73.00,69.00,59.00,77.00,72.00,74.00,69.00,0,0,0,"Changed "" R:R    1:"": 2 => 1.3.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,1.30,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-1706.10,-17.06,-686.91,-6.87,-1019.18,-10.19,4263.28,42.63,1950.79,19.51,2312.49,23.12,5969.38,59.69,2637.71,26.38,3331.67,33.32,577.89,5.50,2254.23,21.56,241.11,2.41,-0.74,-0.60,0.71,0.74,0.69,0,0,0,0,0,2220.16,1050.27,1169.89,148.00,70.00,78.00,0,0,0,54.00,25.00,29.00,94.00,45.00,49.00,36.49,35.71,37.18,-11.53,-0.12,-9.81,-0.10,-13.07,-0.13,78.95,0.79,78.03,0.78,79.74,0.80,63.50,0.63,58.62,0.59,67.99,0.68,1.24,1.33,1.17,197.74,1.98,197.74,1.98,166.20,1.66,116.78,1.17,94.18,0.94,116.78,1.17,26.00,30.00,23.00,29.00,37.00,22.00,25.00,27.00,23.00,0,0,0,"Changed "" Multiplier"": 4 => 2.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,2.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-567.76,-5.68,-394.81,-3.95,-172.95,-1.73,4876.04,48.76,1860.11,18.60,3015.93,30.16,5443.80,54.44,2254.93,22.55,3188.87,31.89,1023.30,10.37,1636.00,15.64,241.07,2.41,-0.21,-0.26,0.90,0.83,0.95,0,0,0,127.23,1.35,1147.27,532.60,614.67,76.00,35.00,41.00,1.00,1.00,0,30.00,13.00,17.00,46.00,22.00,24.00,39.47,37.14,41.46,-7.47,-0.07,-11.28,-0.11,-4.22,-0.04,162.53,1.62,143.09,1.43,177.41,1.77,118.34,1.18,102.50,1.02,132.87,1.33,1.37,1.40,1.34,297.86,2.98,240.61,2.40,297.86,2.98,218.55,2.18,173.32,1.73,218.55,2.18,83.00,76.00,89.00,81.00,49.00,106.00,85.00,92.00,78.00,0,0,0,"Changed "" R:R    1:"": 2 => 1.8.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,1.80,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-3428.08,-34.28,-1681.16,-16.81,-1746.92,-17.47,1889.95,18.90,941.30,9.41,948.65,9.49,5318.03,53.18,2622.46,26.22,2695.57,26.96,209.01,2.94,3577.21,35.41,241.07,2.41,-2.12,-0.90,0.36,0.36,0.35,0,0,0,0,0,2925.10,1499.86,1425.24,195.00,100.00,95.00,0,0,0,60.00,33.00,27.00,135.00,67.00,68.00,30.77,33.00,28.42,-17.58,-0.18,-16.81,-0.17,-18.39,-0.18,31.50,0.31,28.52,0.29,35.14,0.35,39.39,0.39,39.14,0.39,39.64,0.40,0.80,0.73,0.89,75.61,0.76,56.01,0.56,75.61,0.76,74.40,0.74,74.40,0.74,68.60,0.69,7.00,8.00,6.00,8.00,10.00,7.00,6.00,7.00,6.00,0,0,0,"Changed "" Multiplier"": 4 => 1.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,1.00,3.00,2.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-1706.10,-17.06,-686.91,-6.87,-1019.18,-10.19,4263.28,42.63,1950.79,19.51,2312.49,23.12,5969.38,59.69,2637.71,26.38,3331.67,33.32,577.89,5.50,2254.23,21.56,241.07,2.41,-0.74,-0.60,0.71,0.74,0.69,0,0,0,0,0,2220.16,1050.27,1169.89,148.00,70.00,78.00,0,0,0,54.00,25.00,29.00,94.00,45.00,49.00,36.49,35.71,37.18,-11.53,-0.12,-9.81,-0.10,-13.07,-0.13,78.95,0.79,78.03,0.78,79.74,0.80,63.50,0.63,58.62,0.59,67.99,0.68,1.24,1.33,1.17,197.74,1.98,197.74,1.98,166.20,1.66,116.78,1.17,94.18,0.94,116.78,1.17,26.00,30.00,23.00,29.00,37.00,22.00,25.00,27.00,23.00,0,0,0,"Changed "" Multiplier"": 4 => 2.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.00,3.00,2.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-216.01,-2.16,-558.50,-5.59,342.49,3.42,4867.53,48.68,1615.52,16.16,3252.01,32.52,5083.54,50.84,2174.02,21.74,2909.52,29.10,1453.84,13.64,1861.64,16.84,241.11,2.41,-0.02,-0.02,0.96,0.74,1.12,0,0,0,100.49,1.03,846.77,389.87,456.90,56.00,26.00,30.00,1.00,0,1.00,21.00,8.00,13.00,35.00,18.00,17.00,37.50,30.77,43.33,-3.86,-0.04,-21.48,-0.21,11.42,0.12,231.79,2.32,201.94,2.02,250.15,2.50,145.24,1.45,120.78,1.21,171.15,1.71,1.60,1.67,1.46,419.53,4.19,340.01,3.40,419.53,4.19,269.42,2.69,212.93,2.13,269.42,2.69,125.00,98.00,148.00,116.00,51.00,156.00,131.00,120.00,142.00,0,0,0,"Changed "" Multiplier"": 4 => 5.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,5.00,3.00,2.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-47.43,-0.47,-102.63,-1.03,55.20,0.55,5057.78,50.58,2229.95,22.30,2827.83,28.28,5105.21,51.05,2332.58,23.33,2772.63,27.73,954.31,9.12,995.81,9.51,241.07,2.41,0.02,0.03,0.99,0.96,1.02,0,0,0,127.23,1.28,1432.35,697.95,734.41,95.00,46.00,49.00,1.00,1.00,0,38.00,17.00,21.00,57.00,29.00,28.00,40.00,36.96,42.86,-0.50,0,-2.23,-0.02,1.13,0.01,133.10,1.33,131.17,1.31,134.66,1.35,89.57,0.89,80.43,0.80,99.02,0.99,1.49,1.63,1.36,304.07,3.04,304.07,3.04,245.72,2.46,167.68,1.68,133.75,1.34,167.68,1.68,60.00,69.00,52.00,69.00,81.00,58.00,55.00,62.00,47.00,0,0,0,"Changed "" Multiplier"": 4 => 3.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,2.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
281.76,2.82,217.25,2.17,64.52,0.65,5463.54,54.64,2202.65,22.03,3260.89,32.61,5181.78,51.82,1985.40,19.85,3196.37,31.96,1300.05,11.94,1290.17,11.93,241.07,2.41,0.19,0.52,1.05,1.11,1.02,0,0,0,100.53,0.98,1102.53,495.53,607.00,73.00,33.00,40.00,1.00,0,1.00,29.00,13.00,16.00,44.00,20.00,24.00,39.73,39.39,40.00,3.86,0.04,6.58,0.07,1.61,0.02,188.40,1.88,169.43,1.69,203.81,2.04,117.77,1.18,99.27,0.99,133.18,1.33,1.60,1.71,1.53,350.00,3.50,283.23,2.83,350.00,3.50,218.55,2.18,173.32,1.73,218.55,2.18,88.00,75.00,99.00,95.00,50.00,132.00,84.00,91.00,78.00,0,0,0,"Changed "" R:R    1:"": 2 => 2.1.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,2.10,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-1199.21,-11.99,-816.42,-8.16,-382.79,-3.83,4322.80,43.23,1608.52,16.09,2714.28,27.14,5522.01,55.22,2424.94,24.25,3097.07,30.97,808.75,7.57,2062.46,19.52,241.07,2.41,-0.61,-0.55,0.78,0.66,0.88,0,0,0,0,0,1379.61,644.87,734.74,92.00,43.00,49.00,0,0,0,45.00,19.00,26.00,47.00,24.00,23.00,48.91,44.19,53.06,-13.03,-0.13,-18.99,-0.19,-7.81,-0.08,96.06,0.96,84.66,0.85,104.40,1.04,117.49,1.17,101.04,1.01,134.66,1.35,0.82,0.84,0.78,184.31,1.84,141.21,1.41,184.31,1.84,218.55,2.18,173.32,1.73,218.55,2.18,65.00,65.00,64.00,62.00,58.00,65.00,68.00,72.00,63.00,0,0,0,"Changed "" R:R    1:"": 2 => 1.1.","close",21.00,0.40,0,10.00,5.00,true,"Exchange","Exchange",true,0,true,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,50.00,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,1.10,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"SIZE",true,10.00,10000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
